,Type,Percent Antisemitic,Accuracy,Precision,Recall,F1,WF1,n,wn
0,Overall,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,Assault,0.979381443298969,0.9736783897367839,0.44554455445544555,0.9278350515463918,0.6020066889632107,0.6020066889632107,0.021455430214554302,97
2,Harassment,0.971840901091165,0.719088697190887,0.9440361786319955,0.5878211897219289,0.7245119305856833,0.7245119305856833,0.6284007962840079,2841
3,Vandalism,0.9987365761212887,0.5430214554302145,0.43378119001919385,0.9993682880606444,0.6049713193116635,0.6049713193116635,0.3501437735014377,1583
4,Type Mean,0.9833196401704744,0.7452628474526284,0.6077873077022117,0.8383415097763217,0.6438299796201858,0.6800271272049815,N/A,1507.0
