UNIVERSITY NAME,CAMPUS PAPER 1 TRAD (NAME),CAMPUS PAPER 1 TRAD  (URL),CAMPUS PAPER 2 LIBERAL (Name),CAMPUS PAPER 2  liberal (URL),CAMPUS PAPER 3 (Name),CAMPUS PAPER 3 (URL),CAMPUS PAPER 4 (Name),CAMPUS PAPER 4 (URL),CAMPUS PAPER 5 (Name),CAMPUS PAPER 5 (URL),,,,
Lehigh University,The Brown and White,https://thebrownandwhite.com,Lehigh News,https://www2.lehigh.edu/news,,,,,,,,,,
Long Island University Brooklyn,Seawanhaka,https://www.liubknews.com,LIU Headlines,https://headlines.liu.edu,The Tide,http://liuthetide.com,,,,,,,,
Michigan State University,The State News,https://statenews.com,MSU Today,https://msutoday.msu.edu/news,Spartan Newsroom,https://news.jrn.msu.edu,,,,,,,,
Muhlenberg College,The Muhlenberg Weekly,https://muhlenbergweekly.com,Muhlenberg News,https://www.muhlenberg.edu/alumni/discover/news/,,,,,,,,,,
New York University,Washington Square News,https://nyunews.com,NYU News,https://www.nyu.edu/about/news-publications/news.html,"News, Publications, and Facts",https://www.nyu.edu/about/news-publications.html,Complex,https://www.complex.com/tag/nyu,The Gould Standard,https://thegouldstandard.com,NYU Review,https://www.nyureview.com,NYU Local,https://nyulocal.com/tagged/on-campus-news
Northeastern University,The Huntington News,https://huntnewsnu.com,Northeastern Global News,https://news.northeastern.edu,,,,,,,,,,
Northwestern University,The Daily Northwestern,https://dailynorthwestern.com,Northwestern Now,https://news.northwestern.edu,News Center,https://news.feinberg.northwestern.edu,,,,,,,,
Oberlin College,The Oberlin Review,https://oberlinreview.org,BIPOC Lenses,https://www.bipoclenses.com/issues,Oberlin News,https://www.oberlin.edu/news,,,,,,,,
Ohio State University,Ohio State News,https://news.osu.edu,The Lantern,https://www.thelantern.com,,,,,,,,,,
Pace University,Pace Chronicle,https://pacechronicle.com,The Pace Press,https://thepacepress.org,Pace Now,https://www.pace.edu/news,,,,,,,,
Pennsylvania State University,The Daily Collegian,https://www.psucollegian.com,,,,,,,,,,,,
Princeton University,The Daily Princetonian,https://www.dailyprincetonian.com,All News,https://www.princeton.edu/news,University Community News,https://inside.princeton.edu/university-community-news,,,,,,,,
Rochester Institute of Technology,The Reporter,https://reporter.rit.edu,University News,https://www.rit.edu/news,News Center,https://www.rochester.edu/newscenter/,,,,,,,,
Rutgers University,Rutgers Today,https://www.rutgers.edu/news,,,,,,,,,,,,
Rutgers University-Newark,Rutgers News,https://www.newark.rutgers.edu/news,,,,,,,,,,,,
Rutgers University - New Brunswick,The Daily Targum,https://dailytargum.com,,,,,,,,,,,,
Sarah Lawrence College,The Phoenix,http://sarahlawrencephoenix.com,News,https://www.sarahlawrence.edu/news-events/news/,,,,,,,,,,
Skidmore College,The Skidmore News,http://skidmorenews.com,News and Events,https://www.skidmore.edu/news/,,,,,,,,,,
Stanford University,The Stanford Daily,https://stanforddaily.com/,Stanford News,https://news.stanford.edu,Stanford Review,https://stanfordreview.org,Stanford Report,https://news.stanford.edu/report/,,,,,,
SUNY Binghamton,Pipe Dream,https://www.bupipedream.com/,Binghamton Review,https://www.binghamtonreview.com,BingU News,https://www.binghamton.edu/news/home/,,,,,,,,
SUNY Buffalo,The Spectrum,https://www.ubspectrum.com/,The Record,https://buffstaterecord.com,News,https://suny.buffalostate.edu/news,,,,,,,,
SUNY Stony Brook,The Statesman,https://sbstatesman.com/,Stony Brook Press,https://sbpress.com/?s=israel,SBU News,https://news.stonybrook.edu,,,,,,,,
Syracuse University,The Daily Orangs,https://dailyorange.com/,Syracuse U - Summon,https://syracuse.summon.serialssolutions.com/,News,https://news.syr.edu,,,,,,,,
Temple University,The Temple News,https://temple-news.com/,Temple Now,https://news.temple.edu,,,,,,,,,,
The New School,New School Free Press,https://www.newschoolfreepress.com/,The New School News,https://blogs.newschool.edu/news/,,,,,,,,,,
Touro College,News & Events,https://www.touro.edu/news--events/,,,,,,,,,,,,
Towson University,The Towerlight,https://thetowerlight.com,News,https://www.towson.edu/news/,,,,,,,,,,
Tufts University,Tufts Daily,https://www.tuftsdaily.com,The Observer,https://tuftsobserver.org,Tufts Now,https://now.tufts.edu,Access Tufts,https://access.tufts.edu/news,,,,,,
Tulane University,The Tulane Hullabaloo,https://tulanehullabaloo.com,News,https://news.tulane.edu,,,,,,,,,,
University at Albany,Albany Student Press,https://www.albanystudentpress.online,News Center,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.albany.edu/news-center&ved=2ahUKEwjS57DwnNuFAxUFF1kFHRJnBEMQFnoECA8QAQ&usg=AOvVaw3KiKUqwbRAGKS_d8f_TPrj,U Albany Magazine,https://magazine.albany.edu,,,,,,,,
University of Arizona,The Daily Wildcat,https://wildcat.arizona.edu,UA News,https://news.arizona.edu,,,,,,,,,,
University of California Berkeley,The Daily Californian,https://www.dailycal.org,Berkeley News,https://news.berkeley.edu,,,,,,,,,,
University of California Davis,The California Aggie,https://theaggie.org,UC Davis News,https://www.ucdavis.edu/news/latest,,,,,,,,,,
University of California Los Angeles,The Daily Briun,https://dailybruin.com,UCLA Newsroom,https://newsroom.ucla.edu,Al-Talib,https://al-talib.org,FEM,https://femmagazine.com,,,,,,
University of California Santa Barbara,The Daily Nexus,https://dailynexus.com,The Current,https://news.ucsb.edu,The Bottom Line USCB,https://thebottomline.as.ucsb.edu,,,,,,,,
University of California Santa Cruz,City on a Hill Press,https://cityonahillpress.com,University News,https://news.ucsc.edu,Twanas,https://news.ucsc.edu,,,,,,,,
University of Central Florida,UCF Today,https://www.ucf.edu/news/,Knight News,https://knightnews.com,,,,,,,,,,
University of Chicago,The Chicago Maroon,https://chicagomaroon.com,University of Chicago News,https://news.uchicago.edu,,,,,,,,,,
University of Colorado Boulder,CU Boulder Release,https://www.colorado.edu/today/,CU Independent,https://www.cuindependent.com,The Bold,https://theboldcu.com,CU Boulder Today,https://www.colorado.edu/today/news-headlines,,,,,,
University of Connecticut,The Daily Campus,https://dailycampus.com,UConn Today,https://today.uconn.edu,,,,,,,,,,
University of Delaware,The Review,https://udreview.com,UDaily,https://www.udel.edu/udaily/,,,,,,,,,,
University of Denver,DU Clarion,https://duclarion.com,DU in the News,https://www.du.edu/news/du-in-the-news,The Sentry,https://www.ucdenver.edu/student-life/student-organizations/the-sentry-newspaper,,,,,,,,
"University of Florida, Gainesville",The Independent Florida Alligator,https://www.alligator.org,UF News,https://news.ufl.edu,,,,,,,,,,
University of Hartford,The Hartford Informer,https://thehartfordinformer.com,UHart News,https://www.hartford.edu/news/,Hartford Courant,https://www.courant.com/tag/university-of-hartford/,,,,,,,,
University of Illinois Urbana Champaign,The Daily Illini,https://dailyillini.com,News Bureau,https://news.illinois.edu/view/6367,The News-Gazette,https://www.news-gazette.com,,,,,,,,
University of Kansas,The University Daily Kansan,https://www.kansan.com,KU News,https://news.ku.edu,,,,,,,,,,
University of Maryland,The Diamondback,https://dbknews.com,Maryland Today,https://today.umd.edu,The Bark,https://www.thebarkumd.com,Black Explosion News,https://www.blackexplosionnews.com,,,,,,
University of Maryland Baltimore County,The Retriever,https://retriever.umbc.edu,UMBC News,https://umbc.edu/news-home/,,,,,,,,,,
University of Massachusetts Amherst,Massachusetts Daily Collegian,https://dailycollegian.com,News and Events,https://www.umass.edu/news/news-events,News Headlines,https://www.umass.edu/news/news-events/news-headlines,Inside UMass,https://www.umass.edu/news/news-events/inside-umass,,,,,,
University of Miami,The Miami Hurricane,https://themiamihurricane.com,News@theU,https://news.miami.edu,The Miami Student,https://www.miamistudent.net,,,,,,,,
University of Michigan,The Michigan Daily,https://www.michigandaily.com,Michigan Today,https://michigantoday.umich.edu,UM News,https://news.umich.edu,The University Record,https://record.umich.edu,,,,,,
