,Type,Percent Antisemitic,Accuracy,Precision,Recall,F1,WF1,n,wn
0,Overall,0.9763326697633267,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,Assault,0.9896907216494846,0.9949126299491263,0.87,0.8969072164948454,0.883248730964467,0.883248730964467,0.021455430214554302,97
2,Harassment,0.9655051038366772,0.7847821278478213,0.7688543465745539,0.9401619148187258,0.8459224069675376,0.8459224069675376,0.6284007962840079,2841
3,Vandalism,0.9949463044851548,0.9334218093342181,0.8870772946859904,0.9279848389134555,0.9070700833590615,0.9070700833590615,0.3501437735014377,1583
4,Type Mean,0.9833807099904389,0.9043721890437219,0.8419772137535148,0.9216846567423422,0.8787470737636887,0.8681337374597925,N/A,1507.0
