,Type,Percent Antisemitic,Accuracy,Precision,Recall,F1,WF1,n,wn
0,Overall,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,Assault,0.9896907216494846,0.9949126299491263,0.8245614035087719,0.9690721649484536,0.8909952606635071,0.8909952606635071,0.021455430214554302,97
2,Harassment,0.7374164026751144,0.666003096660031,0.748043235184495,0.706441393875396,0.7266473569876901,0.7266473569876901,0.6284007962840079,2841
3,Vandalism,0.9892608970309539,0.8502543685025437,0.9051878354203936,0.6392924826279217,0.7493520918178452,0.7493520918178452,0.3501437735014377,1583
4,Type Mean,0.9054560071185177,0.8370566983705671,0.8259308247045535,0.7716020138172571,0.7889982364896809,0.738123433495695,N/A,1507.0
