,Type,Percent Antisemitic,Accuracy,Precision,Recall,F1,WF1,n,wn
0,Overall,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,Assault,0.9896907216494846,0.9946914399469144,0.8411214953271028,0.9278350515463918,0.8823529411764706,0.8823529411764706,0.021455430214554302,97
2,Harassment,0.7240408306934178,0.688122096881221,0.7900283745439806,0.6860260471664906,0.7343632253202713,0.7343632253202713,0.6284007962840079,2841
3,Vandalism,0.9962097283638661,0.9360760893607609,0.8993827160493827,0.9204042956411876,0.9097720886668748,0.9097720886668748,0.3501437735014377,1583
4,Type Mean,0.9033137602355895,0.8729632087296322,0.8435108619734887,0.8447551314513566,0.8421627517212057,0.7989567296590734,N/A,1507.0
