University,Group name,Status,Group type (search/filter by),Link,Link 2,Link 3
Columbia University/Barnard College,Sunrise Columbia,Active,SJP,https://www.instagram.com/sunrisecolumbia/,,
Columbia University/Barnard College,Jews for Ceasefire (Mentions Genocide in organizing statement),Active,"JVP, Other",https://www.instagram.com/cujews4ceasefire/,,
Columbia University/Barnard College,Columbia University Alumni Action For Palestine,Active,Other,https://www.instagram.com/cualumni4palestine/,,
Columbia University/Barnard College,SIPA Divest,Active,Divest,https://www.instagram.com/sipadivest/,,
Community College of Philadelphia,SJP,Inactive,SJP,https://www.facebook.com/ccpsjp/,,
Community College of Philadelphia,SJP Philly,Inactive,SJP,https://www.facebook.com/Students-for-Justice-in-Palestine-Philly-133462560157333/,,
Community College of Philadelphia,Philly BDS,Active,Other,https://www.facebook.com/philly.bds/,https://www.instagram.com/phillybds/,
Connecticut College,SJP,Inactive,SJP,none,,
Connecticut College,Conn Students in Solidarity with Palestine (CSSP),Inactive,SJP,none,,
Cornell University,SJP,Active,SJP,https://www.instagram.com/cornell.sjp/,https://www.facebook.com/CornellS4JP,https://cornell.campusgroups.com/jvpcornell/home/
Cornell University,Cornell Collective for Justice in Palestine,Inactive,SJP,https://www.facebook.com/Cornell-Collective-for-Justice-in-Palestine-CCJP-288986254970005/,,
Cornell University,Islamic Alliance for Justice,Inactive,Other,https://www.facebook.com/IslamicAllianceForJustice/,,
Cornell University,JVP,Inactive,JVP,https://www.facebook.com/cornell.jvp/,,
Cornell University,Cornell Progressives,Active,Other,https://www.instagram.com/cuprogressives/,,
Cornell University,Arab Student Association,Active,Other,https://www.instagram.com/cornell.asa/,,
Cornell University,Cornell’s Coalition for Mutual Liberation,Active,Other,https://www.instagram.com/cmlcornell/,,
Cornell University,Cornell Alumni for Palestine,Active,Other,https://www.instagram.com/cornellalumni4palestine/,,
Dartmouth College,SJP,Inactive,SJP,none,,
Dartmouth College,Dartmouth Palestine Solidarity Committee,Active,Other,https://www.instagram.com/dartmouth_psc/,https://www.facebook.com/Dartmouth-Palestine-Solidarity-Coalition-100918825519996,
Davidson College,Davidson Students in Solidarity for Palestine,Inactive,Other,http://www.davidsonian.com/students-debate-the-ethics-of-sabra-hummus/,,
DePaul University,SJP,Active,SJP,https://www.instagram.com/sjpdepaul/,,
DePaul University,DePaul Divest,Inactive,Divest,https://www.facebook.com/pg/dpudivest/posts/?ref=page_internal,,
DePaul University,DePaul Socialists,Inactive,Other,https://www.instagram.com/dpusocialists/,https://www.facebook.com/DPUSocialists,
DePaul University,Students Against Incarceration DePaul,Active,Other,https://www.instagram.com/saidepaul/,,
Denison University,SJP,Active,SJP,https://www.instagram.com/denisonsjp/,,
Drake University,SJP,Inactive,SJP,https://www.facebook.com/groups/DrakeSJP/about/,,
Drake University,Middle East Peace and Prosperity Alliance,Active,SJP,https://www.instagram.com/dumeppa/,https://www.facebook.com/DUMEPPA/,
Drew University,SJP,Active,SJP,https://www.instagram.com/drewsjp/,,
Drew University,Drew Roosevelt Network,Active,Other,https://www.instagram.com/drewrooseveltnetwork/,,
Drew University,Indianapolis Party for Socialism & Liberation (Holds Joint Protest Events with SJP),Active,Other,https://www.instagram.com/pslindianapolis/,,
Drexel University,SJP,Active,SJP,https://www.instagram.com/drexelsjp/,,
Duke University,SJP,Active,SJP,https://www.facebook.com/DukeSJP,https://www.instagram.com/duke_sjp/,
Duke University,Duke Arab Student Organization,Active,Other,https://www.instagram.com/dukeaso/,,
Earlham College,SJP,Active,SJP,https://www.facebook.com/EarlhamSPJP/,https://www.instagram.com/earlham_spjp/,
