University,Academic Boycotter Name,Auto Increment
CUNY Borough of Manhattan Community College,James Dennis Hoff,2205
CUNY Borough of Manhattan Community College,James Scales,2206
CUNY Borough of Manhattan Community College,Linta Varghese,2208
CUNY Borough of Manhattan Community College,Margaret Carson,2209
CUNY Borough of Manhattan Community College,Mira Zaman,2210
CUNY Borough of Manhattan Community College,Roger Foster,2211
CUNY Borough of Manhattan Community College,Rose M. Kim,2212
CUNY Borough of Manhattan Community College,Schneur Zalman Newfield,2213
CUNY Borough of Manhattan Community College,Yolanda Medina,2214
CUNY Borough of Manhattan Community College,Nicodemus Nicoludis,2216
CUNY Borough of Manhattan Community College,Soniya Munshi,2217
CUNY Borough of Manhattan Community College,Joanna Thompson,2218
CUNY Borough of Manhattan Community College,Boyda J. Johnstone,2219
CUNY Borough of Manhattan Community College,Chirag Raval,4327
CUNY Borough of Manhattan Community College,Charles Post,4350
CUNY Borough of Manhattan Community College,Daniel Nieves,4386
CUNY Bronx Community College,Devin Molina,251
CUNY Bronx Community College,Sharon Utakis,252
CUNY Bronx Community College,Alex Wolf,2452
CUNY Bronx Community College,Marc Barnhill,2453
CUNY Bronx Community College,Cynthia Tobar,2454
CUNY Bronx Community College,Carol Lang,4217
CUNY Brooklyn College,Moustafa Bayoumi,253
CUNY Brooklyn College,Corey Robin,255
CUNY Brooklyn College,Ellen Tremper,256
CUNY Brooklyn College,Alexandra Lewis,2455
CUNY Brooklyn College,Derek Ludovici,2456
CUNY Brooklyn College,Donna Lee Granville,2457
CUNY Brooklyn College,Ian Olasov,2458
CUNY Brooklyn College,Jason Frydman,2459
CUNY Brooklyn College,Jeanne Theoharis,2460
CUNY Brooklyn College,Jocelyn Wills,2461
CUNY Brooklyn College,Joseph Entin,2462
CUNY Brooklyn College,Karl Steel,2463
CUNY Brooklyn College,Katherine Hejtmanek,2464
CUNY Brooklyn College,Kelly M. Britt,2465
CUNY Brooklyn College,Laura Matthews,2466
CUNY Brooklyn College,Lawrence Johnson,2467
CUNY Brooklyn College,Mobina Hashmi,2468
CUNY Brooklyn College,Naomi Braine,2469
CUNY Brooklyn College,Naomi Schiller,2470
CUNY Brooklyn College,Patricia Antoniello,2471
CUNY Brooklyn College,Ramsey Scott,2472
CUNY Brooklyn College,Rhea Rahman,2473
